source_dataset,variable,unit,description,era,season,statistic
NASS Ag Census,25_to_34,operations,"producers, principal, age 25 to 34 - number of producers + operators, principal, age 25 to 34 - number of operators","2012, 2017",NA,NA
NASS Ag Census,35_to_44,operations,"producers, principal, age 35 to 44 - number of producers + operators, principal, age 35 to 44 - number of operators","2012, 2017",NA,NA
NASS Ag Census,45_to_54,operations,"producers, principal, age 45 to 54 - number of producers + operators, principal, age 45 to 54 - number of operators","2012, 2017",NA,NA
NASS Ag Census,55_to_64,operations,"producers, principal, age 55 to 64 - number of producers + operators, principal, age 55 to 59 - number of operators + operators, principal, age 60 to 64 - number of operators","2012, 2017",NA,NA
NASS Ag Census,65_plus,operations,"producers, principal, age 65 to 74 - number of producers + producers, principal, age ge 75 - number of producers + operators, principal, age 65 to 69 - number of operators + operators, principal, age ge 70 - number of operators","2012, 2017",NA,NA
NASS Ag Census,acres_operated,acres,farm operations - acres operated,"2012, 2017",NA,NA
NASS Ag Census,chemical_expenses,dollars,"chemical totals - expense, measured in $","2012, 2017",NA,NA
NASS Ag Census,chemical_ops,operations,chemical totals - operations with expense,"2012, 2017",NA,NA
NASS Ag Census,cons_prog_ops,operations,"govt programs, federal, conservation & wetlands - operations with receipts","2012, 2017",NA,NA
NASS Ag Census,cons_prog_receipts,dollars,"govt programs, federal, conservation & wetlands - receipts, measured in $ / operation","2012, 2017",NA,NA
NASS Ag Census,corpland_acres_harvested,acres,"ag land, cropland, harvested - acres","2012, 2017",NA,NA
NASS Ag Census,cover_crop_acres,acres,"practices, land use, cropland, cover crop planted, (excl crp) - acres + land planted to a cover crop (excluding crp), acres, 2012","2012, 2017",NA,NA
NASS Ag Census,cover_crop_acres_per_op,acres,"practices, land use, cropland, cover crop planted, (excl crp) - area, measured in acres / operation + land planted to a cover crop (excluding crp), acres, avg per farm, 2012","2012, 2017",NA,NA
NASS Ag Census,cover_crop_ops,operations,"practices, land use, cropland, cover crop planted, (excl crp) - number of operations + land planted to a cover crop (excluding crp), farms, 2012","2012, 2017",NA,NA
NASS Ag Census,crop_insurance_acres,acres,"ag land, crop insurance - acres","2012, 2017",NA,NA
NASS Ag Census,crop_insurance_ops,operations,"ag land, crop insurance - number of operations","2012, 2017",NA,NA
NASS Ag Census,cropland_acres,acres,"ag land, cropland - acres","2012, 2017",NA,NA
NASS Ag Census,cropland_ops,operations,"ag land, cropland - number of operations","2012, 2017",NA,NA
NASS Ag Census,cropland_ops_harvested,operations,"ag land, cropland, harvested - number of operations","2012, 2017",NA,NA
NASS Ag Census,fed_prog_ops,operations,"govt programs, federal, (excl conservation & wetlands) - operations with receipts","2012, 2017",NA,NA
NASS Ag Census,fed_prog_receipts,dollars,"govt programs, federal, (excl conservation & wetlands) - receipts, measured in $ / operation","2012, 2017",NA,NA
NASS Ag Census,female_prods,operations,"producers, principal, female - number of operations + operators, principal, female - number of operations","2012, 2017",NA,NA
NASS Ag Census,fertilizer_expenses,dollars,"fertilizer totals, incl lime & soil conditioners - expense, measured in $","2012, 2017",NA,NA
NASS Ag Census,fertilizer_ops,operations,"fertilizer totals, incl lime & soil conditioners - operations with expense","2012, 2017",NA,NA
NASS Ag Census,irrigated_acres,acres,"ag land, irrigated - acres","2012, 2017",NA,NA
NASS Ag Census,irrigated_ops,operations,"ag land, irrigated - number of operations","2012, 2017",NA,NA
NASS Ag Census,labor_contract_expenses,dollars,"labor, contract - expense, measured in $","2012, 2017",NA,NA
NASS Ag Census,labor_contract_ops,dollars,"labor, contract - operations with expense","2012, 2017",NA,NA
NASS Ag Census,labor_hired_expenses,dollars,"labor, hired - expense, measured in $","2012, 2017",NA,NA
NASS Ag Census,labor_hired_ops,dollars,"labor, hired - operations with expense","2012, 2017",NA,NA
NASS Ag Census,mean_farm_size,acres,"farm operations - area operated, measured in acres / operation","2012, 2017",NA,NA
NASS Ag Census,n_farm_ops,operations,farm operations - number of operations,"2012, 2017",NA,NA
NASS Ag Census,net_income,dollars,"income, net cash farm, of operations - net income, measured in $ / operation","2012, 2017",NA,NA
NASS Ag Census,newcomer_led,operations,"producers, principal, years on any operation, lt 6 years - number of producers + producers, principal, years on any operation, 6 to 10 years - number of producers + operators, principal, years on any operation, lt 3 years - number of operators + operators, principal, years on any operation, 3 to 4 years - number of operators + operators, principal, years on any operation, 5 to 9 years - number of operators","2012, 2017",NA,NA
NASS Ag Census,no_till_acres,acres,"practices, land use, cropland, conservation tillage, no-till - acres + land on which no-till practices were used, acres, 2012","2012, 2017",NA,NA
NASS Ag Census,no_till_acres_per_op,acres,"practices, land use, cropland, conservation tillage, no-till - area, measured in acres / operation + land on which no-till practices were used, acres, avg per farm, 2012","2012, 2017",NA,NA
NASS Ag Census,no_till_ops,operations,"practices, land use, cropland, conservation tillage, no-till - number of operations + land on which no-till practices were used, farms, 2012","2012, 2017",NA,NA
